n,r,m
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:BELONGS_TO],"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})"
"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})",[:BELONGS_TO],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:BELONGS_TO],"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})"
"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})",[:BELONGS_TO],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:BELONGS_TO],"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})"
"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})",[:BELONGS_TO],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:BELONGS_TO],"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})"
"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})",[:BELONGS_TO],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:BELONGS_TO],"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})"
"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})",[:BELONGS_TO],"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:BELONGS_TO],"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})"
"(:Category {name: Port Scanning,description: Scan des ports TCP/UDP})",[:BELONGS_TO],"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:BELONGS_TO],"(:Category {name: Firewall/IDS Evasion,description: Techniques d'évasion des pare-feu})"
"(:Category {name: Firewall/IDS Evasion,description: Techniques d'évasion des pare-feu})",[:BELONGS_TO],"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:BELONGS_TO],"(:Category {name: Firewall/IDS Evasion,description: Techniques d'évasion des pare-feu})"
"(:Category {name: Firewall/IDS Evasion,description: Techniques d'évasion des pare-feu})",[:BELONGS_TO],"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})",[:BELONGS_TO],"(:Category {name: Host Discovery,description: Découverte des hôtes actifs})"
"(:Category {name: Host Discovery,description: Découverte des hôtes actifs})",[:BELONGS_TO],"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})",[:BELONGS_TO],"(:Category {name: OS Detection,description: Détection du système d'exploitation})"
"(:Category {name: OS Detection,description: Détection du système d'exploitation})",[:BELONGS_TO],"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:BELONGS_TO],"(:Category {name: Version Detection,description: Détection des versions de services})"
"(:Category {name: Version Detection,description: Détection des versions de services})",[:BELONGS_TO],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})",[:BELONGS_TO],"(:Category {name: Advanced Scanning,description: Scans avancés et personnalisés})"
"(:Category {name: Advanced Scanning,description: Scans avancés et personnalisés})",[:BELONGS_TO],"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})"
"(:Privilege {level: root,description: Requires root/sudo access,priority: high})",[:REQUIRED_FOR],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:REQUIRED_FOR],"(:Privilege {level: root,description: Requires root/sudo access,priority: high})"
"(:Privilege {level: root,description: Requires root/sudo access,priority: high})",[:REQUIRED_FOR],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:REQUIRED_FOR],"(:Privilege {level: root,description: Requires root/sudo access,priority: high})"
"(:Privilege {level: root,description: Requires root/sudo access,priority: high})",[:REQUIRED_FOR],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:REQUIRED_FOR],"(:Privilege {level: root,description: Requires root/sudo access,priority: high})"
"(:Privilege {level: root,description: Requires root/sudo access,priority: high})",[:REQUIRED_FOR],"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:REQUIRED_FOR],"(:Privilege {level: root,description: Requires root/sudo access,priority: high})"
"(:Privilege {level: root,description: Requires root/sudo access,priority: high})",[:REQUIRED_FOR],"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:REQUIRED_FOR],"(:Privilege {level: root,description: Requires root/sudo access,priority: high})"
"(:Privilege {level: root,description: Requires root/sudo access,priority: high})",[:REQUIRED_FOR],"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:REQUIRED_FOR],"(:Privilege {level: root,description: Requires root/sudo access,priority: high})"
"(:Privilege {level: root,description: Requires root/sudo access,priority: high})",[:REQUIRED_FOR],"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:REQUIRED_FOR],"(:Privilege {level: root,description: Requires root/sudo access,priority: high})"
"(:Privilege {level: root,description: Requires root/sudo access,priority: high})",[:REQUIRED_FOR],"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})",[:REQUIRED_FOR],"(:Privilege {level: root,description: Requires root/sudo access,priority: high})"
"(:Privilege {level: root,description: Requires root/sudo access,priority: high})",[:REQUIRED_FOR],"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})",[:REQUIRED_FOR],"(:Privilege {level: root,description: Requires root/sudo access,priority: high})"
"(:Privilege {level: user,description: Works with user permissions,priority: low})",[:REQUIRED_FOR],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:REQUIRED_FOR],"(:Privilege {level: user,description: Works with user permissions,priority: low})"
"(:Privilege {level: user,description: Works with user permissions,priority: low})",[:REQUIRED_FOR],"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})",[:REQUIRED_FOR],"(:Privilege {level: user,description: Works with user permissions,priority: low})"
"(:Privilege {level: user,description: Works with user permissions,priority: low})",[:REQUIRED_FOR],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:REQUIRED_FOR],"(:Privilege {level: user,description: Works with user permissions,priority: low})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:CONFLICTS_WITH {reason: Cannot use both SYN and Connect scans together}],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:CONFLICTS_WITH {reason: Cannot use both SYN and Connect scans together}],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:COMPATIBLE_WITH {note: Different protocols}],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:COMPATIBLE_WITH {note: Different protocols}],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:COMPATIBLE_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:COMPATIBLE_WITH],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:COMPATIBLE_WITH],"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:COMPATIBLE_WITH],"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:COMPATIBLE_WITH {note: Firewall mapping + Port scanning}],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:COMPATIBLE_WITH {note: Firewall mapping + Port scanning}],"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})"
"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})",[:WORKS_WITH],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})"
"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})"
"(:Option {code: -F,works_without_scan: true,name: Fast Mode,description: Scan les top 100 ports uniquement,category: performance,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -F,works_without_scan: true,name: Fast Mode,description: Scan les top 100 ports uniquement,category: performance,requires_root: false})"
"(:Option {code: -F,works_without_scan: true,name: Fast Mode,description: Scan les top 100 ports uniquement,category: performance,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -F,works_without_scan: true,name: Fast Mode,description: Scan les top 100 ports uniquement,category: performance,requires_root: false})"
"(:Option {code: -O,works_without_scan: false,name: OS Detection,description: Active la détection du système d'exploitation,category: detection,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -O,works_without_scan: false,name: OS Detection,description: Active la détection du système d'exploitation,category: detection,requires_root: true})"
